Age,Class of Worker,Educational Attainment,Marital Status,Occupation,Place of Birth,Hours Worked per Week,Sex,Race,Target
22,0,18,4,4760,22,12,1,0,0
19,3,18,4,4640,5,20,1,1,0
21,4,18,4,4640,48,35,1,0,0
32,0,15,4,440,22,40,0,1,0
18,0,17,4,9645,22,8,1,7,0
18,0,18,4,4110,22,20,1,0,0
29,1,12,4,9620,22,50,0,1,0
20,4,18,4,3870,18,45,0,0,0
18,0,17,4,4840,48,2,0,0,0
18,0,17,4,4055,24,10,1,0,0
37,0,15,4,4020,48,35,0,0,0
18,0,17,4,3603,202,24,1,5,0
18,0,17,4,9645,22,8,1,7,0
20,4,18,4,9825,21,45,0,0,1
37,3,16,4,3605,22,40,0,1,0
42,0,16,2,7750,22,45,0,0,0
46,0,18,0,4251,303,50,0,0,0
39,0,16,4,9300,22,84,0,1,0
50,1,23,4,2205,457,40,0,1,0
20,4,15,4,9825,36,45,0,0,1
39,0,0,0,6050,314,60,0,8,0
20,0,18,4,4760,22,40,1,0,0
18,4,17,4,5240,22,6,1,1,0
53,0,14,4,9620,22,6,0,1,0
21,0,15,4,4110,53,25,1,1,0
23,3,20,4,2350,22,4,0,0,0
18,3,15,4,2723,22,15,0,1,0
25,4,15,4,7140,6,40,0,0,0
18,0,17,4,2545,22,30,1,1,0
19,0,18,4,4720,6,20,1,1,0
18,3,18,4,1108,22,20,0,1,0
29,0,17,4,4020,72,35,0,1,0
21,0,18,4,4055,151,35,1,0,0
20,0,18,4,4720,22,30,1,1,0
28,0,18,4,5240,22,40,0,1,0
18,0,17,4,9130,1,30,1,7,0
48,5,20,4,2600,301,10,1,0,0
22,1,18,4,1007,207,20,0,5,0
18,0,18,4,4720,48,30,1,1,0
45,0,18,0,4251,72,50,0,0,0
21,1,18,4,5400,40,18,1,0,0
29,0,13,4,4055,22,45,1,0,0
41,0,13,3,7800,22,40,0,1,0
18,4,17,4,5240,22,6,1,1,0
40,3,15,4,310,22,40,0,1,0
22,0,18,4,5740,55,20,1,0,0
38,5,15,1,6230,22,40,0,0,0
18,0,17,4,9130,1,30,1,7,0
20,0,18,4,5240,22,33,0,1,0
21,0,18,4,5120,6,12,0,1,0
22,4,18,4,9825,4,50,0,1,1
19,0,15,4,4720,48,99,0,1,0
21,1,18,4,230,12,15,1,0,0
49,5,23,4,2600,301,10,1,0,0
46,3,15,2,3605,22,40,0,0,1
40,0,15,0,6050,303,51,0,8,0
21,3,18,4,4640,27,20,1,1,0
18,3,17,4,2723,22,15,0,1,0
18,0,17,4,4110,22,40,1,1,0
22,0,18,4,4760,39,40,1,1,0
20,4,15,4,3870,18,45,0,0,0
19,4,17,4,9825,48,35,0,0,0
18,3,17,4,5400,22,7,1,0,0
17,0,12,4,4020,22,70,0,1,0
63,6,15,0,9620,6,84,0,1,0
19,0,18,4,310,22,35,0,1,0
21,0,18,4,3930,22,12,0,0,0
19,0,17,4,4720,22,25,1,0,0
27,0,15,4,4760,22,50,1,1,0
